Customer ID,Recency,Frequency,Monetary,Total_Quantity,Total_Revenue,Invoice_Count,Unique_Products,Average_Order_Value,Churn,Churn_Prediction,Churn_Status
12346.0,165,11,372.86,70,372.86,11,26,33.89636363636364,0,0,Active
12347.0,3,2,1323.32,828,1323.32,2,70,661.66,0,0,Active
12348.0,74,1,222.16,373,222.16,1,20,222.16,0,0,Active
12349.0,43,3,2671.14,993,2671.14,3,90,890.38,0,0,Active
12351.0,11,1,300.93,261,300.93,1,21,300.93,0,0,Active
12352.0,11,2,343.8,188,343.8,2,18,171.9,0,0,Active
12353.0,44,1,317.76,192,317.76,1,20,317.76,0,0,Active
12355.0,203,1,488.21,303,488.21,1,22,488.21,1,1,Churn Risk
12356.0,16,3,3560.3,1825,3560.3,3,68,1186.7666666666669,0,0,Active
12357.0,24,2,12079.99,3879,12079.99,2,165,6039.995,0,0,Active
12358.0,11,3,2719.01,831,2719.01,3,52,906.3366666666668,0,0,Active
12359.0,61,6,2563.36,1130,2563.36,6,110,427.2266666666667,0,0,Active
12360.0,15,5,1590.83,1294,1590.83,5,74,318.166,0,0,Active
12361.0,98,3,321.35,144,321.35,3,14,107.11666666666667,0,0,Active
12362.0,374,1,130.0,1,130.0,1,1,130.0,1,1,Churn Risk
12366.0,269,1,500.24,296,500.24,1,3,500.24,1,1,Churn Risk
12368.0,264,1,917.7,330,917.7,1,18,917.7,1,1,Churn Risk
12369.0,49,3,1791.15,1241,1791.15,3,90,597.0500000000001,0,0,Active
12370.0,260,3,774.62,252,774.62,3,33,258.20666666666665,1,1,Churn Risk
12371.0,45,3,2179.42,845,2179.42,3,91,726.4733333333334,0,0,Active
12373.0,260,2,763.0500000000001,319,763.0500000000001,2,31,381.525,1,1,Churn Risk
12374.0,57,3,2246.29,1020,2246.29,3,47,748.7633333333333,0,0,Active
12376.0,25,2,503.15,240,503.15,2,11,251.575,0,0,Active
12377.0,17,2,1798.2,1161,1798.2,2,75,899.1,0,0,Active
12378.0,198,1,1407.7,787,1407.7,1,82,1407.7,1,1,Churn Risk
12379.0,58,2,767.98,408,767.98,2,37,383.99,0,0,Active
12380.0,101,7,6951.49,2228,6951.49,7,119,993.07,0,0,Active
12385.0,15,1,1938.4,612,1938.4,1,65,1938.4,0,0,Active
12386.0,2,1,258.90000000000003,214,258.90000000000003,1,8,258.90000000000003,0,0,Active
12387.0,51,1,143.94,134,143.94,1,9,143.94,0,0,Active
12388.0,81,2,1120.45,539,1120.45,2,36,560.225,0,0,Active
12389.0,38,3,1433.33,614,1433.33,3,41,477.7766666666666,0,0,Active
12391.0,100,5,2285.18,911,2285.18,5,159,457.036,0,0,Active
12392.0,227,1,234.75000000000003,73,234.75000000000003,1,7,234.75000000000003,1,1,Churn Risk
12393.0,18,2,816.85,495,816.85,2,38,408.425,0,0,Active
12395.0,7,4,2048.64,1615,2048.64,4,83,512.16,0,0,Active
12396.0,310,1,931.43,591,931.43,1,65,931.43,1,1,Churn Risk
12399.0,21,3,853.65,1020,853.65,3,40,284.55,0,0,Active
12400.0,50,1,205.25,91,205.25,1,11,205.25,0,0,Active
12402.0,28,5,1031.3,490,1031.3,5,40,206.26,0,0,Active
12403.0,157,1,591.6600000000001,164,591.6600000000001,1,4,591.6600000000001,0,0,Active
12404.0,318,1,63.24,1,63.24,1,1,63.24,1,1,Churn Risk
12406.0,35,3,2975.06,1598,2975.06,3,44,991.6866666666666,0,0,Active
12408.0,21,3,1452.22,820,1452.22,3,41,484.0733333333333,0,0,Active
12409.0,56,4,12346.62,7592,12346.62,4,125,3086.655,0,0,Active
12410.0,138,1,320.38,130,320.38,1,14,320.38,0,0,Active
12411.0,45,1,346.9,138,346.9,1,22,346.9,0,0,Active
12412.0,38,3,1370.05,1168,1370.05,3,50,456.6833333333333,0,0,Active
12413.0,38,1,241.35,33,241.35,1,13,241.35,0,0,Active
12414.0,99,3,390.0,195,390.0,3,9,130.0,0,0,Active
12415.0,11,7,19543.84,14073,19543.84,7,169,2791.977142857143,0,0,Active
12416.0,292,1,202.56,132,202.56,1,11,202.56,1,1,Churn Risk
12417.0,46,11,3148.31,1332,3148.31,11,144,286.21,0,0,Active
12418.0,49,3,1352.62,681,1352.62,3,61,450.8733333333333,0,0,Active
12419.0,21,2,503.01,231,503.01,2,23,251.505,0,0,Active
12421.0,51,2,291.56,168,291.56,2,18,145.78,0,0,Active
12422.0,30,14,4428.24,2226,4428.24,14,109,316.30285714285714,0,0,Active
12423.0,23,2,763.08,454,763.08,2,38,381.54,0,0,Active
12424.0,58,2,1579.07,1285,1579.07,2,59,789.535,0,0,Active
12425.0,84,1,964.21,651,964.21,1,55,964.21,0,0,Active
12426.0,298,1,762.48,326,762.48,1,47,762.48,1,1,Churn Risk
12427.0,7,1,303.5,79,303.5,1,10,303.5,0,0,Active
12429.0,1,5,3735.51,1787,3735.51,5,70,747.1020000000001,0,0,Active
12431.0,9,13,4370.52,1811,4370.52,13,131,336.1938461538462,0,0,Active
12433.0,2,5,7205.39,6045,7205.39,5,163,1441.078,0,0,Active
12434.0,17,1,297.29,138,297.29,1,20,297.29,0,0,Active
12435.0,32,4,6096.04,2903,6096.04,4,68,1524.01,0,0,Active
12437.0,31,21,7731.99,5078,7731.99,21,216,368.19,0,0,Active
